順位,名前,点数
1,トヨタ自動車,33
2,本田技研工業,94
3,日産自動車,47
4,日本電信電話,82
5,ＪＸホールディングス,46
6,日立製作所,51
7,ソフトバンクグループ,79
8,豊田通商,38
9,ソニー,16
10,丸紅,70
11,パナソニック,101
12,三菱商事,48
13,第一生命保険,62
14,イオン,36
15,東京電力,91
16,東芝,35
17,セブン＆アイ・ホールディングス,67
18,三菱ＵＦＪフィナンシャル・グループ,58
19,新日鐵住金,71
20,伊藤忠商事,42
21,三井物産,75
22,三井住友フィナンシャルグループ,63
23,富士通,35
24,ＭＳ＆ＡＤインシュアランスグループホール,59
25,出光興産,60
26,ＫＤＤＩ,15
27,ＮＴＴドコモ,51
28,東京海上ホールディングス,65
29,三菱電機,75
30,デンソー,37
31,三菱重工業,60
32,ジェイ　エフ　イー　ホールディングス,44
33,住友商事,35
34,キヤノン,70
35,ブリヂストン,113
36,三菱ケミカルホールディングス,71
37,東燃ゼネラル石油,74
38,関西電力,91
39,損保ジャパン日本興亜ホールディングス,67
40,みずほフィナンシャルグループ,68
41,中部電力,86
42,マツダ,26
43,スズキ,83
44,昭和シェル石油,76
45,アイシン精機,65
46,日本電気,117
47,富士重工業,66
48,メディパルホールディングス,76
49,住友電気工業,78
50,大和ハウス工業,51
51,シャープ,40
52,東日本旅客鉄道,72
53,富士フイルムホールディングス,70
54,アルフレッサ　ホールディングス,66
55,Ｔ＆Ｄホールディングス,41
56,日本郵船,62
57,住友化学,91
58,三菱食品,72
59,東京瓦斯,55
60,リコー,183
61,キリンホールディングス,81
62,東北電力,85
63,三菱自動車工業,61
64,オリックス,122
65,豊田自動織機,60
66,日本たばこ産業,81
67,日鉄住金物産,92
68,東レ,76
69,旭化成,58
70,小松製作所,87
71,スズケン,75
72,野村ホールディングス,77
73,日本通運,52
74,ダイキン工業,94
75,積水ハウス,58
76,神戸製鋼所,96
77,いすゞ自動車,37
78,九州電力,90
79,ダイハツ工業,58
80,商船三井,46
81,双日,15
82,アサヒグループホールディングス,75
83,武田薬品工業,75
84,大林組,57
85,阪和興業,55
86,ＡＮＡホールディングス,47
87,鹿島建設,107
88,日野自動車,38
89,ファーストリテイリング,78
90,ＬＩＸＩＬグループ,46
91,東海旅客鉄道,70
92,ヤマダ電機,68
93,クボタ,83
94,大成建設,61
95,清水建設,72
96,三井化学,106
97,三井不動産,42
98,大阪瓦斯,61
99,凸版印刷,70
100,京セラ,116
101,ヤマハ発動機,53
102,三菱マテリアル,87
103,エヌ・ティ・ティ・データ,33
104,川崎重工業,75
105,大日本印刷,67
106,ＩＨＩ,20
107,花王,86
108,ヤマトホールディングス,50
109,伊藤忠エネクス,49
110,ジェイテクト,51
111,大東建託,93
112,川崎汽船,95
113,ソニーフィナンシャルホールディングス,70
114,西日本旅客鉄道,75
115,旭硝子,61
116,王子ホールディングス,51
117,日本航空,100
118,トヨタ紡織,52
119,リクルートホールディングス,76
120,中国電力,84
121,三越伊勢丹ホールディングス,71
122,サントリー食品インターナショナル,77
123,信越化学工業,85
124,アステラス製薬,72
125,近鉄グループホールディングス,77
126,大塚ホールディングス,75
127,日本ハム,65
128,三井住友トラスト・ホールディングス,65
129,飯田グループホールディングス,80
130,国際石油開発帝石,66
131,東邦ホールディングス,53
132,明治ホールディングス,51
133,Ｊ．フロント　リテイリング,68
134,博報堂ＤＹホールディングス,65
135,兼松,85
136,積水化学工業,76
137,三菱地所,51
138,セイコーエプソン,48
139,ＴＤＫ,1
140,東京急行電鉄,80
141,日本製紙,57
142,村田製作所,81
143,日本電産,78
144,ユニーグループ・ホールディングス,73
145,コニカミノルタ,92
146,味の素,34
147,日立金属,98
148,住友林業,55
149,山崎製パン,82
150,日本精工,90
151,カルソニックカンセイ,81
152,住友金属鉱山,83
153,第一三共,55
154,高島屋,58
