順位,名前,点数
2671,ケル,250
858,パル,250
1437,ルック,193
1713,ラック,193
1807,レック,193
3446,ケイブ,193
243,カネカ,186
60,リコー,183
1109,リケン,183
2177,カンロ,183
651,ベルク,183
2818,カルラ,176
1365,ポプラ,176
1135,フコク,176
2896,理経,176
1146,コナカ,176
2557,クレオ,176
317,クラレ,176
412,コクヨ,176
875,ブルボン,170
2570,クイック,167
1742,パレモ,166
430,パルコ,166
690,クレハ,166
2869,きちり,166
3229,レカム,166
2344,マルコ,166
1087,コロナ,166
2470,ミロク,166
2778,ムラキ,166
2223,ヒラキ,166
3560,パルマ,166
1300,パスコ,166
2649,パラカ,166
2984,ニレコ,166
391,コメリ,166
1853,キムラ,166
2188,シャルレ,160
3130,歌舞伎座,157
425,丸文,157
3319,カヤック,152
2038,コックス,152
904,カドカワ,152
3374,キタック,152
2074,クルーズ,150
3408,ラクーン,150
498,カルビー,150
488,グローリー,148
3007,タカキタ,147
1668,リリカラ,147
3133,オリコン,145
228,楽天,145
1747,リックス,145
1741,カンセキ,145
1181,カプコン,145
3246,ピープル,145
819,クオール,145
507,アルペン,145
1128,タキロン,145
2728,ショクブン,142
2927,クックパッド,141
1113,高速,140
2572,ササクラ,140
2953,中広,140
2007,コンテック,138
3252,クボテック,138
2033,コーセル,137
3251,プラコー,137
2945,ロジコム,137
3467,コラボス,137
2875,ドリコム,137
1884,トーカロ,137
2787,ベクトル,137
207,フジクラ,137
2564,ラピーヌ,137
3404,レアジョブ,136
2962,ベリサーブ,136
1236,シーキューブ,136
3325,アークコア,134
1258,キーコーヒー,133
1081,エレコム,132
2079,ソレキア,132
2637,コンセック,132
1241,ニチレキ,132
600,アルバック,132
3140,加地テック,132
3310,イトクロ,132
2585,アクセル,132
2856,興研,132
678,キタムラ,132
1261,黒谷,132
3097,リニカル,132
998,古野電気,132
2628,タカトリ,132
2624,セレスポ,132
476,エクセル,132
2689,ピエトロ,132
1756,森組,132
2428,魚喜,132
642,エフピコ,132
3398,カワサキ,132
2782,パピレス,132
971,アキレス,132
1983,エスクリ,132
3479,ロックオン,132
1919,クレスコ,132
242,キユーピー,132
542,リンテック,132
427,アスクル,132
1293,コロプラ,132
3117,ブイキューブ,131
510,極洋,128
3528,エコミック,128
815,トランコム,128
3120,キムラタン,128
299,関電工,128
2846,ザッパラス,126
3491,リンクバル,126
1898,タカキュー,126
3548,クリムゾン,126
1000,ザ・パック,126
3557,リボミック,126
3332,テリロジー,126
3159,リブセンス,126
987,トリドール,126
2698,まんだらけ,126
3307,ピクセラ,125
2820,ぱど,125
2720,ハブ,125
1150,久世,125
3498,ピクスタ,125
1065,ゼロ,125
1595,ソルコム,125
1648,カカクコム,124
420,コネクシオ,124
3299,日本ラッド,124
1916,ラックランド,123
345,キッコーマン,123
872,都築電気,123
708,福田組,122
1506,アルインコ,122
1697,多木化学,122
409,アルパイン,122
2539,アルデプロ,122
673,米久,122
864,富士機工,122
630,日油,122
2905,きょくとう,122
1337,ラオックス,122
64,オリックス,122
2310,アルテック,122
560,クラリオン,122
2510,極楽湯,122
1702,エスペック,122
654,サンケン電気,121
449,リコーリース,120
956,ベルパーク,120
3028,進学会,120
2075,ケンコーコム,120
1646,サンコール,120
3016,かんなん丸,120
2971,ブロッコリー,118
3278,日本研紙,118
2801,日本坩堝,118
383,黒田電気,118
1650,オーデリック,118
2701,ミライアル,118
2575,文溪堂,118
46,日本電気,117
2553,理研グリーン,117
1490,日鍛バルブ,117
2569,パスポート,116
100,京セラ,116
2722,リヒトラブ,116
1268,大塚家具,116
818,カノークス,116
1190,スクロール,116
602,コロワイド,116
2855,リベレステ,116
2186,鳥貴族,116
1849,瑞光,116
810,クリナップ,116
503,ナブテスコ,116
1838,靜甲,116
3257,ニチリョク,116
186,オリンパス,116
1015,マルキョウ,116
1863,クロップス,116
765,ぴあ,115
2166,コア,115
2618,ソルクシーズ,115
3344,ブレインパッド,115
1882,ビケンテクノ,115
2258,日置電機,115
2551,レイ,115
2517,アールシーコア,115
